meter_id,customer_id,unit_type,construction_year,energy_label
681,1628,single_family_house,1964,C
682,133,single_family_house,2017,A
683,2065,single_family_house,1959,E
684,705,single_family_house,1966,""
685,2871,single_family_house,1976,""
686,2842,single_family_house,2016,A
687,1781,single_family_house,1960,D
688,799,single_family_house,1959,""
689,2595,terraced_house,1880,""
690,2670,single_family_house,1962,D
691,1370,single_family_house,1975,""
692,1863,terraced_house,1875,""
693,529,single_family_house,1966,""
694,2314,single_family_house,1981,C
695,604,single_family_house,1956,""
696,1913,single_family_house,1965,""
697,712,single_family_house,1967,""
698,1524,terraced_house,1972,""
699,167,single_family_house,1970,""
700,69,single_family_house,1920,D
701,1796,unclear,,""
702,2546,single_family_house,1910,""
703,1801,single_family_house,1970,""
704,2438,single_family_house,1958,""
705,2172,single_family_house,1905,""
706,1274,terraced_house,2001,""
707,944,single_family_house,1905,""
708,2477,unclear,,""
709,748,single_family_house,1969,""
710,1703,single_family_house,2013,A
711,1485,terraced_house,2017,""
712,576,single_family_house,1963,""
713,2491,single_family_house,1975,""
714,1119,single_family_house,1986,""
715,1011,single_family_house,1962,""
716,204,single_family_house,1965,C
717,2427,single_family_house,1954,""
718,199,single_family_house,1983,C
719,2642,single_family_house,1937,""
720,2263,single_family_house,1968,""
721,2354,single_family_house,1900,""
722,2894,single_family_house,2014,A
723,1629,single_family_house,1957,""
724,2506,single_family_house,1955,C
725,266,unclear,,D
726,2433,single_family_house,1921,D
727,1107,single_family_house,1952,""
728,1434,single_family_house,1920,""
729,889,single_family_house,1877,C
730,3089,terraced_house,2016,A
731,845,single_family_house,1965,""
732,2617,single_family_house,1969,""
733,1557,terraced_house,2009,""
734,1397,single_family_house,1985,""
735,2132,single_family_house,1968,""
736,240,single_family_house,1903,""
737,815,single_family_house,1936,D
738,1846,single_family_house,1975,""
739,1356,single_family_house,1983,C
740,2312,single_family_house,1966,""
741,1120,single_family_house,1929,""
742,744,terraced_house,2006,""
743,2777,single_family_house,1963,D
744,2611,single_family_house,1957,""
745,2684,single_family_house,1959,""
746,32,single_family_house,1915,C
747,2742,single_family_house,1922,D
748,750,single_family_house,1922,""
749,450,single_family_house,2006,""
750,2753,single_family_house,1954,F
751,127,single_family_house,1960,""
752,2060,single_family_house,2014,A
753,1601,single_family_house,1975,""
754,1535,single_family_house,1969,D
755,2204,single_family_house,2014,A
756,2011,single_family_house,1962,""
757,1349,terraced_house,1997,""
758,1248,terraced_house,1972,""
759,2982,single_family_house,1947,""
760,734,single_family_house,1976,D
761,793,single_family_house,1933,D
762,2916,apartment,2003,""
763,2015,single_family_house,1965,D
764,2308,single_family_house,1972,""
765,2657,single_family_house,1900,""
766,1792,single_family_house,1955,""
767,2484,single_family_house,1963,""
768,217,single_family_house,1951,""
769,722,single_family_house,1920,""
770,1275,terraced_house,1953,G
771,384,single_family_house,1917,""
772,650,terraced_house,2016,""
773,1532,single_family_house,1968,C
774,1024,single_family_house,1953,C
775,512,single_family_house,1947,""
776,2541,single_family_house,1965,D
777,1678,apartment,2006,C
778,322,single_family_house,1962,""
779,852,terraced_house,2018,A
780,1130,terraced_house,1990,C
781,2096,terraced_house,1984,B
782,1363,single_family_house,1970,""
783,1600,single_family_house,1967,""
784,2264,terraced_house,1983,""
785,1714,terraced_house,1920,""
786,665,single_family_house,1970,D
787,1550,single_family_house,1966,""
788,1576,single_family_house,1962,E
789,2217,single_family_house,2010,""
790,1836,single_family_house,1972,D
791,755,single_family_house,1944,C
792,498,single_family_house,1971,D
793,2310,terraced_house,1972,B
794,1070,single_family_house,1969,D
795,2391,terraced_house,1982,A
796,3088,single_family_house,1962,D
797,810,single_family_house,2013,A
798,922,single_family_house,1923,""
799,15,single_family_house,1959,C
800,1332,single_family_house,1967,D
801,1852,single_family_house,1985,""
802,428,single_family_house,1963,D
803,1342,single_family_house,1976,""
804,2952,single_family_house,1965,""
805,2576,single_family_house,1902,""
806,31,terraced_house,1964,""
807,3106,single_family_house,1962,""
808,962,single_family_house,1974,""
809,2816,single_family_house,1985,""
810,1292,single_family_house,1955,""
811,3122,single_family_house,1919,""
812,1019,single_family_house,1972,D
813,36,single_family_house,1953,""
814,3077,single_family_house,1971,""
815,2592,single_family_house,1960,""
816,1690,single_family_house,1983,""
817,543,terraced_house,2017,A
818,1952,single_family_house,1965,""
819,2810,single_family_house,1950,""
820,1674,single_family_house,1970,""
821,2775,single_family_house,1965,""
822,1830,single_family_house,1973,C
823,1175,single_family_house,1986,""
824,426,single_family_house,1984,""
825,1245,single_family_house,1966,C
826,2942,single_family_house,1956,""
827,3091,terraced_house,1921,""
828,2993,single_family_house,1974,D
829,2732,single_family_house,1972,""
830,1595,single_family_house,1923,""
831,2707,terraced_house,2018,A
832,2813,single_family_house,1960,""
833,654,single_family_house,1962,""
834,1078,single_family_house,1930,""
835,2613,single_family_house,1967,""
836,1272,single_family_house,2017,A
837,2850,single_family_house,1958,C
838,443,single_family_house,1953,""
839,353,single_family_house,2017,A
840,202,single_family_house,1950,""
841,103,single_family_house,1957,""
842,3049,single_family_house,1935,F
843,1598,single_family_house,2013,""
844,841,terraced_house,1984,""
845,3005,single_family_house,1943,""
846,1635,unclear,,""
847,2892,single_family_house,1969,C
848,1686,single_family_house,2018,A
849,494,single_family_house,1910,""
850,1950,single_family_house,1964,C
851,1032,single_family_house,1967,C
852,2179,unclear,,E
853,2088,single_family_house,1963,""
854,2317,single_family_house,1924,""
855,1181,single_family_house,1975,C
856,2203,terraced_house,2016,A
857,3042,single_family_house,1985,D
858,677,single_family_house,1914,""
859,1511,single_family_house,1955,E
860,2437,single_family_house,1967,""
861,2280,single_family_house,1953,D
862,1767,single_family_house,1930,E
863,243,apartment,2006,C
864,329,single_family_house,1984,""
865,2936,single_family_house,1968,""
866,1918,single_family_house,1980,""
867,2989,terraced_house,2003,""
868,3029,single_family_house,1980,C
869,1885,single_family_house,1976,""
870,706,single_family_house,1925,""
871,2726,single_family_house,1963,""
872,2588,single_family_house,1962,C
873,2667,terraced_house,2017,""
874,2365,single_family_house,1965,""
875,2139,single_family_house,1958,C
876,2992,single_family_house,2017,A
877,65,terraced_house,2003,""
878,3025,single_family_house,1972,""
879,2138,terraced_house,1972,B
880,2536,single_family_house,1984,""
881,3098,single_family_house,1995,""
882,1137,single_family_house,1955,D
883,1049,single_family_house,1969,""
884,2208,single_family_house,1923,""
885,2121,single_family_house,1880,""
886,1373,single_family_house,1905,""
887,1828,single_family_house,1969,""
888,2980,single_family_house,1924,""
889,2094,single_family_house,1910,""
890,210,single_family_house,1923,""
891,959,terraced_house,2016,A
892,2374,single_family_house,1960,""
893,1421,terraced_house,1909,C
894,546,single_family_house,1956,""
895,2652,single_family_house,1963,""
896,1925,single_family_house,1965,""
